index	original	parse
164	Ik moet eerlijk zeggen : zover is het nog niet .	(ROOT (DU (SMAIN (vnw 0) (ww 1) (INF (adj 2) (ww 3))) (let 4) (SMAIN (bw 5) (ww 6) (vnw 7) (ADVP (bw 8) (bw 9)))) (let 10))
165	Om dit te bereiken , hebben we nog een lange weg te gaan .	(ROOT (SMAIN (OTI (vz 0) (TI (INF (vnw 1) (ww 3)) (vz 2))) (let 4) (ww 5) (vnw 6) (bw 7) (TI (INF (NP (lid 8) (adj 9) (n 10)) (ww 12)) (vz 11))) (let 13))
166	Wie het recente WODC-rapport ' Georganiseerde criminaliteit en rechtshandhaving op Sint Maarten ' heeft gelezen , kan dit alleen maar beamen .	(ROOT (SMAIN (WHREL (vnw 0) (SSUB (PPART (NP (lid 1) (adj 2) (n 3) (let 4) (CONJ (NP (ww 5) (n 6)) (vg 7) (NP (n 8) (PP (vz 9) (MWU (spec 10) (spec 11))))) (let 12)) (ww 14)) (ww 13))) (let 15) (ww 16) (INF (vnw 17) (ADVP (bw 18) (bw 19)) (ww 20))) (let 21))
167	Zo worden in het rapport genoemd : internationale drugshandel , mensensmokkel en het witwassen van misdaadgeld .	(ROOT (SMAIN (PPART (bw 0) (PP (vz 2) (NP (lid 3) (n 4))) (ww 5) (let 6) (CONJ (NP (adj 7) (n 8)) (let 9) (n 10) (vg 11) (NP (lid 12) (ww 13) (PP (vz 14) (n 15))))) (ww 1)) (let 16))
168	De onderzoekers concluderen verder dat er door het ontbreken van voldoende checks and balances op het eiland een gelegenheidsstructuur is kunnen ontstaan die allerlei criminele activiteiten faciliteert .	(ROOT (SMAIN (NP (lid 0) (n 1)) (ww 2) (adj 3) (CP (vg 4) (SSUB (INF (INF (vnw 5) (PP (vz 6) (NP (lid 7) (ww 8) (PP (vz 9) (NP (adj 10) (MWU (spec 11) (spec 12) (spec 13)) (PP (vz 14) (NP (lid 15) (n 16))))))) (NP (lid 17) (n 18) (REL (vnw 22) (SSUB (NP (adj 23) (adj 24) (n 25)) (ww 26)))) (ww 21)) (ww 20)) (ww 19)))) (let 27))
169	Ik ben blij dat staatssecretaris Bijleveld , het bestuurscollege en het Land , gezamenlijk hebben gesignaleerd dat het hoog tijd is om zaken op te pakken . En dat dit een gezamenlijke verantwoordelijkheid is .	(ROOT (DU (SMAIN (vnw 0) (ww 1) (AP (adj 2) (CP (vg 3) (SSUB (CONJ (NP (n 4) (n 5)) (let 6) (NP (lid 7) (n 8)) (vg 9) (NP (lid 10) (n 11))) (let 12) (adj 13) (ww 14) (ww 15) (CP (vg 16) (SSUB (NP (lid 17) (adj 18) (n 19)) (ww 20) (OTI (vz 21) (TI (INF (n 22) (vz 23) (ww 25)) (vz 24))))))))) (let 26) (DU (vg 27) (CP (vg 28) (SSUB (vnw 29) (NP (lid 30) (adj 31) (n 32)) (ww 33))))) (let 34))
170	Om de toekomst met vertrouwen tegemoet te kunnen zien , heeft Sint Maarten niet alleen een krachtig en betrouwbaar bestuur maar ook een slagvaardig controle- , opsporings- en handhavingsapparaat nodig .	(ROOT (SMAIN (OTI (vz 0) (TI (INF (INF (NP (lid 1) (n 2)) (PP (vz 3) (n 4)) (bw 5) (ww 8)) (ww 7)) (vz 6))) (let 9) (ww 10) (MWU (spec 11) (spec 12)) (CONJ (MWU (bw 13) (bw 14)) (CONJ (NP (lid 15) (CONJ (adj 16) (vg 17) (adj 18)) (n 19)) (vg 20) (NP (bw 21) (lid 22) (adj 23) (spec 24))) (let 25) (NP (spec 26)) (vg 27) (NP (n 28))) (adj 29)) (let 30))
171	Goede samenwerking tussen verschillende diensten , hoogwaardige kennis en voldoende capabele mensen en middelen zijn daarbij onontbeerlijk .	(ROOT (SMAIN (CONJ (NP (adj 0) (n 1) (PP (vz 2) (CONJ (NP (adj 3) (n 4)) (let 5) (NP (adj 6) (n 7)) (vg 8) (NP (adj 9) (adj 10) (n 11))))) (vg 12) (NP (n 13))) (ww 14) (bw 15) (adj 16)) (let 17))
172	Dit is de basis voor een goede , hoopvolle toekomst voor de bewoners van Sint Maarten .	(ROOT (SMAIN (vnw 0) (ww 1) (NP (lid 2) (n 3) (PP (vz 4) (NP (lid 5) (adj 6) (let 7) (adj 8) (n 9) (PP (vz 10) (NP (lid 11) (n 12) (PP (vz 13) (MWU (spec 14) (spec 15))))))))) (let 16))
173	Dit is de basis voor een gezonde economische ontwikkeling .	(ROOT (SMAIN (vnw 0) (ww 1) (NP (lid 2) (n 3) (PP (vz 4) (NP (lid 5) (adj 6) (adj 7) (n 8))))) (let 9))
174	Hoop kan niet zonder rotsvast vertrouwen en vertrouwen is gebouwd op de fundamenten van de rechtsstaat . Op recht , regels en de handhaving daarvan , maar ook op integer bestuur .	(ROOT (CONJ (SMAIN (n 0) (ww 1) (bw 2) (PP (vz 3) (NP (adj 4) (n 5)))) (vg 6) (SMAIN (n 7) (ww 8) (PPART (ww 9) (CONJ (PP (vz 10) (NP (lid 11) (n 12) (PP (vz 13) (NP (lid 14) (n 15) (let 16) (PP (vz 17) (CONJ (n 18) (let 19) (n 20) (vg 21) (NP (lid 22) (n 23) (bw 24)))))))) (let 25) (vg 26) (PP (bw 27) (vz 28) (NP (adj 29) (n 30))))))) (let 31))
175	Het is tijd de schouders eronder te zetten en hard te werken aan de door u zo gewenste staatkundige verandering .	(ROOT (SMAIN (vnw 0) (ww 1) (n 2) (CONJ (TI (INF (NP (lid 3) (n 4)) (bw 5) (ww 7)) (vz 6)) (vg 8) (TI (INF (adj 9) (ww 11) (PP (vz 12) (NP (lid 13) (AP (PP (vz 14) (vnw 15)) (bw 16) (ww 17)) (adj 18) (n 19)))) (vz 10)))) (let 20))
176	Zonder verandering geen goede toekomst .	(ROOT (DU (PP (vz 0) (n 1)) (NP (vnw 2) (adj 3) (n 4))) (let 5))
177	De interesse van buitenlandse investeerders en toeristen kan alleen worden gewekt met integriteit , transparantie , en een harde hand ten opzichte van corruptie en fraude .	(ROOT (SMAIN (NP (lid 0) (n 1) (PP (vz 2) (CONJ (NP (adj 3) (n 4)) (vg 5) (n 6)))) (ww 7) (INF (PPART (bw 8) (ww 10) (PP (vz 11) (CONJ (n 12) (let 13) (n 14) (let 15) (vg 16) (NP (lid 17) (adj 18) (n 19) (PP (MWU (vz 20) (n 21) (vz 22)) (CONJ (n 23) (vg 24) (n 25))))))) (ww 9))) (let 26))
178	Zonder zichtbare verbeteringen stagneert het staatkundige proces .	(ROOT (SMAIN (PP (vz 0) (NP (adj 1) (n 2))) (ww 3) (NP (lid 4) (adj 5) (n 6))) (let 7))
179	Want zonder vooruitgang op het gebied van rechtshandhaving , rechtspleging en goed bestuur geen status van land voor Sint Maarten .	(ROOT (DU (vg 0) (DU (PP (vz 1) (NP (n 2) (PP (MWU (vz 3) (lid 4) (n 5) (vz 6)) (CONJ (n 7) (let 8) (n 9) (vg 10) (NP (adj 11) (n 12)))))) (NP (vnw 13) (n 14) (PP (vz 15) (n 16)) (PP (vz 17) (MWU (spec 18) (spec 19)))))) (let 20))
180	Ik weet dat mevrouw Wescott - net als ik - sterk hecht aan het nakomen van gezamenlijk gemaakte afspraken . Afspraken die keer op keer zijn vastgelegd .	(ROOT (DU (SMAIN (vnw 0) (ww 1) (CP (vg 2) (SSUB (NP (n 3) (n 4)) (let 5) (CP (bw 6) (vg 7) (vnw 8)) (let 9) (adj 10) (ww 11) (PP (vz 12) (NP (lid 13) (ww 14) (PP (vz 15) (NP (AP (adj 16) (ww 17)) (n 18)))))))) (let 19) (NP (n 20) (REL (vnw 21) (SSUB (PPART (MWU (n 22) (vz 23) (n 24)) (ww 26)) (ww 25))))) (let 27))
181	In het hoofdlijnenakkoord van 22 oktober 2005 . Tijdens de start-RTC op 26 november 2005 . En in de slotverklaring van 2 november 2006 .	(ROOT (DU (PP (vz 0) (NP (lid 1) (n 2) (PP (vz 3) (MWU (tw 4) (n 5) (tw 6))))) (let 7) (PP (vz 8) (NP (lid 9) (n 10) (PP (vz 11) (MWU (tw 12) (n 13) (tw 14))))) (let 15) (DU (vg 16) (PP (vz 17) (NP (lid 18) (n 19) (PP (vz 20) (MWU (tw 21) (n 22) (tw 23))))))) (let 24))
182	Het zijn afspraken waar Nederland aan vasthoudt en waar Sint Maarten niet voor weg kan lopen .	(ROOT (SMAIN (vnw 0) (ww 1) (NP (n 2) (CONJ (REL (vnw 3) (SSUB (n 4) (PP (vz 5)) (ww 6))) (vg 7) (REL (vnw 8) (SSUB (MWU (spec 9) (spec 10)) (INF (bw 11) (PP (vz 12) (n 13)) (ww 15)) (ww 14)))))) (let 16))
183	Ik doe daarom een indringend beroep op iedereen op Sint Maarten om de handschoen op te pakken .	(ROOT (SMAIN (vnw 0) (ww 1) (bw 2) (NP (lid 3) (adj 4) (n 5)) (PP (vz 6) (NP (vnw 7) (PP (vz 8) (MWU (spec 9) (spec 10))))) (OTI (vz 11) (TI (INF (NP (lid 12) (n 13)) (vz 14) (ww 16)) (vz 15)))) (let 17))
184	Werk mee aan het realiseren van efficiënte , gezagvolle en sterke politie- en opsporingsdiensten .	(ROOT (SV1 (ww 0) (vz 1) (PP (vz 2) (NP (lid 3) (ww 4) (PP (vz 5) (NP (CONJ (adj 6) (let 7) (adj 8) (vg 9) (adj 10)) (CONJ (spec 11) (vg 12) (n 13))))))) (let 14))
185	Werk mee aan de uitwerking van de afspraken over een slagvaardig Openbaar Ministerie .	(ROOT (SV1 (ww 0) (vz 1) (PP (vz 2) (NP (lid 3) (n 4) (PP (vz 5) (NP (lid 6) (n 7) (PP (vz 8) (NP (lid 9) (adj 10) (MWU (adj 11) (n 12))))))))) (let 13))
186	En werk mee aan een onkreukbaar , slagvaardig en integer openbaar bestuur .	(ROOT (DU (vg 0) (SV1 (ww 1) (vz 2) (PP (vz 3) (NP (lid 4) (CONJ (adj 5) (let 6) (adj 7) (vg 8) (adj 9)) (adj 10) (n 11))))) (let 12))
187	Het gaat niet alleen om formele verantwoordelijkheid , maar ook om morele verantwoordelijkheid .	(ROOT (SMAIN (vnw 0) (ww 1) (CONJ (MWU (bw 2) (bw 3)) (PP (vz 4) (NP (adj 5) (n 6))) (let 7) (vg 8) (PP (bw 9) (vz 10) (NP (adj 11) (n 12))))) (let 13))
188	Nederland neemt zijn verantwoordelijkheid , onder meer door het Plan Veiligheid Nederlandse Antillen .	(ROOT (SMAIN (n 0) (ww 1) (NP (vnw 2) (n 3)) (let 4) (PP (MWU (vz 5) (vnw 6)) (vz 7) (NP (lid 8) (MWU (n 9) (n 10) (adj 11) (n 12))))) (let 13))
189	Door het vrijmaken van mensen en middelen om hier het politieapparaat verder op orde te brengen en de rechtshandhaving te versterken .	(ROOT (PP (vz 0) (NP (lid 1) (ww 2) (PP (vz 3) (CONJ (n 4) (vg 5) (n 6))) (OTI (vz 7) (CONJ (TI (INF (vnw 8) (NP (lid 9) (n 10)) (adj 11) (PP (vz 12) (n 13)) (ww 15)) (vz 14)) (vg 16) (TI (INF (NP (lid 17) (n 18)) (ww 20)) (vz 19)))))) (let 21))
190	Door het zoeken naar werkbare oplossingen .	(ROOT (PP (vz 0) (NP (lid 1) (ww 2) (PP (vz 3) (NP (adj 4) (n 5))))) (let 6))
191	Maar de primaire verantwoordelijkheid ligt hier op de Nederlandse Antillen en op Sint Maarten .	(ROOT (DU (vg 0) (SMAIN (NP (lid 1) (adj 2) (n 3)) (ww 4) (vnw 5) (CONJ (PP (vz 6) (NP (lid 7) (MWU (spec 8) (spec 9)))) (vg 10) (PP (vz 11) (MWU (spec 12) (spec 13)))))) (let 14))
192	Loop daar niet voor weg .	(ROOT (SV1 (ww 0) (PP (vnw 1) (vz 3)) (bw 2) (bw 4)) (let 5))
193	Toon daadkracht .	(ROOT (SV1 (ww 0) (n 1)) (let 2))
194	In het belang van de samenleving .	(ROOT (PP (vz 0) (NP (lid 1) (n 2) (PP (vz 3) (NP (lid 4) (n 5))))) (let 6))
195	De kinderen op dit eiland hebben recht op een veilige toekomst met gelijke kansen voor iedereen .	(ROOT (SMAIN (NP (lid 0) (n 1) (PP (vz 2) (NP (vnw 3) (n 4)))) (ww 5) (NP (n 6) (PP (vz 7) (NP (lid 8) (adj 9) (n 10) (PP (vz 11) (NP (adj 12) (n 13)))))) (PP (vz 14) (vnw 15))) (let 16))
196	Een toekomst vol vertrouwen . Een toekomst vol hoop .	(ROOT (DU (NP (lid 0) (n 1) (PP (adj 2) (n 3))) (let 4) (NP (lid 5) (n 6) (PP (adj 7) (n 8)))) (let 9))
197	Het scheppen van die hoop is onze gezamenlijke taak . Dat is hard , heel hard werken .	(ROOT (DU (SMAIN (NP (lid 0) (ww 1) (PP (vz 2) (NP (vnw 3) (n 4)))) (ww 5) (NP (vnw 6) (adj 7) (n 8))) (let 9) (SMAIN (vnw 10) (ww 11) (NP (adj 12) (let 13) (AP (adj 14) (adj 15)) (ww 16)))) (let 17))
198	Werk waarmee vandaag moet worden begonnen .	(ROOT (NP (n 0) (REL (bw 1) (SSUB (INF (PPART (bw 2) (ww 5)) (ww 4)) (ww 3)))) (let 6))
199	De weg is lang .	(ROOT (SMAIN (NP (lid 0) (n 1)) (ww 2) (adj 3)) (let 4))
200	Maar ons einddoel - een goede toekomst voor de bevolking van dit prachtige eiland Sint Maarten - is die moeite meer dan waard .	(ROOT (DU (vg 0) (SMAIN (NP (vnw 1) (n 2) (let 3) (NP (lid 4) (adj 5) (n 6) (PP (vz 7) (NP (lid 8) (n 9) (PP (vz 10) (NP (vnw 11) (adj 12) (n 13) (MWU (spec 14) (spec 15))))))) (let 16)) (ww 17) (AP (NP (vnw 18) (n 19)) (MWU (vnw 20) (vg 21)) (adj 22)))) (let 23))
201	Het is een eer om hier te zijn op MGIMO .	(ROOT (SMAIN (vnw 0) (ww 1) (NP (lid 2) (n 3)) (OTI (vz 4) (TI (INF (vnw 5) (ww 7) (PP (vz 8) (n 9))) (vz 6)))) (let 10))
202	Deze prachtige universiteit is een kweekvijver voor diplomatiek talent .	(ROOT (SMAIN (NP (vnw 0) (adj 1) (n 2)) (ww 3) (NP (lid 4) (n 5) (PP (vz 6) (NP (adj 7) (n 8))))) (let 9))
203	Dat maakt onze gedachtewisseling nog extra interessant .	(ROOT (SMAIN (vnw 0) (ww 1) (NP (vnw 2) (n 3)) (bw 4) (AP (adj 5) (adj 6))) (let 7))
204	Diplomatie en openhartigheid gaan zowel in de Russische als in de Nederlandse cultuur heel goed samen .	(ROOT (SMAIN (CONJ (n 0) (vg 1) (n 2)) (ww 3) (CONJ (bw 4) (PP (vz 5) (NP (lid 6) (adj 7))) (vg 8) (PP (vz 9) (NP (lid 10) (adj 11) (n 12)))) (AP (adj 13) (adj 14)) (bw 15)) (let 16))
205	Dus ik verheug me op het komende uur .	(ROOT (DU (bw 0) (SMAIN (vnw 1) (ww 2) (vnw 3) (PP (vz 4) (NP (lid 5) (ww 6) (n 7))))) (let 8))
206	Deze universiteit heeft hechte contacten met Nederland .	(ROOT (SMAIN (NP (vnw 0) (n 1)) (ww 2) (NP (adj 3) (n 4) (PP (vz 5) (n 6)))) (let 7))
207	Zo werkt u onder meer samen met de Universiteit Leiden .	(ROOT (SMAIN (bw 0) (ww 1) (vnw 2) (MWU (vz 3) (vnw 4)) (bw 5) (PP (vz 6) (NP (lid 7) (MWU (n 8) (n 9))))) (let 10))
208	Ik ben er trots op dat hier op MGIMO ook de Nederlandse taal wordt gedoceerd .	(ROOT (SMAIN (vnw 0) (ww 1) (AP (PP (vnw 2) (vz 4) (CP (vg 5) (SSUB (PPART (vnw 6) (PP (vz 7) (n 8)) (bw 9) (ww 14)) (NP (lid 10) (adj 11) (n 12)) (ww 13)))) (adj 3))) (let 15))
209	Tsaar Peter de Grote heeft ooit het plan gehad om het Nederlands als tweede taal in te voeren op Russische scholen .	(ROOT (SMAIN (NP (n 0) (MWU (spec 1) (spec 2) (spec 3))) (ww 4) (PPART (bw 5) (NP (lid 6) (n 7) (OTI (vz 9) (TI (INF (NP (lid 10) (n 11)) (CP (vz 12) (NP (tw 13) (n 14))) (vz 15) (ww 17) (PP (vz 18) (NP (adj 19) (n 20)))) (vz 16)))) (ww 8))) (let 21))
210	Hij bracht in 1697 een bezoek aan mijn land om meer te leren over onze scheepsbouw .	(ROOT (SMAIN (vnw 0) (ww 1) (PP (vz 2) (tw 3)) (NP (lid 4) (n 5)) (PP (vz 6) (NP (vnw 7) (n 8))) (OTI (vz 9) (TI (INF (NP (vnw 10) (PP (vz 13) (NP (vnw 14) (n 15)))) (ww 12)) (vz 11)))) (let 16))
211	Nederland was in de 17de eeuw de grootste handelsmacht ter wereld , mede dankzij zijn uitgebreide vloot .	(ROOT (SMAIN (n 0) (ww 1) (PP (vz 2) (NP (lid 3) (tw 4) (n 5))) (NP (lid 6) (adj 7) (n 8) (PP (vz 9) (n 10))) (let 11) (PP (bw 12) (vz 13) (NP (vnw 14) (ww 15) (n 16)))) (let 17))
212	Tsaar Peter bezocht een aantal Hollandse scheepswerven .	(ROOT (SMAIN (MWU (n 0) (spec 1)) (ww 2) (NP (lid 3) (n 4) (NP (adj 5) (n 6)))) (let 7))
213	Hij was erg onder de indruk , maar vond toch dat wij Nederlanders een beetje te veel werkten met het timmermansoog en een beetje te weinig met theorie ...	(ROOT (CONJ (SMAIN (vnw 0) (ww 1) (AP (adj 2) (MWU (vz 3) (lid 4) (n 5)))) (let 6) (vg 7) (SV1 (ww 8) (bw 9) (CP (vg 10) (SSUB (vnw 11) (n 12) (AP (ADVP (NP (lid 13) (n 14)) (bw 15)) (vnw 16)) (ww 17) (PP (vz 18) (CONJ (NP (lid 19) (n 20) (PP (vz 26) (n 27))) (vg 21) (NP (lid 22) (n 23) (AP (bw 24) (vnw 25))))))))) (let 28))
214	In ieder geval zijn er veel Nederlandse woorden die te maken hebben met de zeevaart in uw taal terecht gekomen .	(ROOT (SMAIN (PPART (PP (vz 0) (NP (vnw 1) (n 2))) (vnw 4) (PP (vz 15) (NP (vnw 16) (n 17))) (adj 18) (ww 19)) (ww 3) (NP (vnw 5) (adj 6) (n 7) (REL (vnw 8) (SSUB (TI (vz 9) (ww 10)) (ww 11) (PP (vz 12) (NP (lid 13) (n 14))))))) (let 20))
215	Gezien de Nederlandse koopmansreputatie zal het u niet verbazen dat ook de Russische woorden voor ' kassier ' en ' kwitantie ' uit het Nederlands afkomstig zijn .	(ROOT (SMAIN (INF (PP (vz 0) (NP (lid 1) (adj 2) (n 3))) (vnw 6) (bw 7) (ww 8) (CP (vg 9) (SSUB (bw 10) (NP (lid 11) (adj 12) (n 13) (PP (vz 14) (CONJ (let 15) (n 16) (let 17) (vg 18) (let 19) (n 20) (let 21)))) (AP (PP (vz 22) (NP (lid 23) (n 24))) (adj 25)) (ww 26)))) (ww 4) (vnw 5)) (let 27))
216	Helaas spreek ik uw taal niet .	(ROOT (SMAIN (bw 0) (ww 1) (vnw 2) (NP (vnw 3) (n 4)) (bw 5)) (let 6))
217	Daarom praat ik met u in een taal die we allemaal min of meer machtig zijn ; het Engels .	(ROOT (DU (SMAIN (bw 0) (ww 1) (vnw 2) (PP (vz 3) (vnw 4)) (PP (vz 5) (NP (lid 6) (n 7) (REL (vnw 8) (SSUB (vnw 9) (bw 10) (AP (MWU (bw 11) (vg 12) (vnw 13)) (adj 14)) (ww 15)))))) (let 16) (NP (lid 17) (n 18))) (let 19))
218	Dames en heren , Rusland en Nederland hebben bijzondere banden die meer dan drie eeuwen oud zijn .	(ROOT (DU (CONJ (n 0) (vg 1) (n 2)) (let 3) (SMAIN (CONJ (n 4) (vg 5) (n 6)) (ww 7) (NP (adj 8) (n 9) (REL (vnw 10) (SSUB (AP (NP (DETP (MWU (vnw 11) (vg 12)) (tw 13)) (n 14)) (adj 15)) (ww 16)))))) (let 17))
219	Niet veel mensen weten dat Den Haag eind 17de eeuw de eerste stad was met een permanente Russische diplomatieke vertegenwoordiging .	(ROOT (SMAIN (NP (AP (bw 0) (vnw 1)) (n 2)) (ww 3) (CP (vg 4) (SSUB (MWU (spec 5) (spec 6)) (ADVP (n 7) (NP (tw 8) (n 9))) (NP (lid 10) (tw 11) (n 12) (PP (vz 14) (NP (lid 15) (adj 16) (adj 17) (adj 18) (n 19)))) (ww 13)))) (let 20))
220	Nederland speelde vervolgens een belangrijke ondersteunende rol in de economische en maritieme expansie van Rusland .	(ROOT (SMAIN (n 0) (ww 1) (bw 2) (NP (lid 3) (adj 4) (ww 5) (n 6)) (PP (vz 7) (NP (lid 8) (CONJ (adj 9) (vg 10) (adj 11)) (n 12) (PP (vz 13) (n 14))))) (let 15))
221	Eind 19de eeuw was Nederland het gastland van een grote internationale vredesconferentie op initiatief van Tsaar Nicolaas II .	(ROOT (SMAIN (ADVP (n 0) (NP (tw 1) (n 2))) (ww 3) (n 4) (NP (lid 5) (n 6) (PP (vz 7) (NP (lid 8) (adj 9) (adj 10) (n 11) (PP (MWU (vz 12) (n 13) (vz 14)) (NP (n 15) (MWU (spec 16) (spec 17)))))))) (let 18))
222	Centraal daarbij stond de gedachte van een internationale rechtsgemeenschap waarbinnen landen vreedzaam samenwerken .	(ROOT (SMAIN (AP (adj 0) (bw 1)) (ww 2) (NP (lid 3) (n 4) (PP (vz 5) (NP (lid 6) (adj 7) (n 8) (REL (bw 9) (SSUB (n 10) (adj 11) (ww 12))))))) (let 13))
223	We hebben daar onder andere het Permanent Hof van Arbitrage in Den Haag aan te danken .	(ROOT (SMAIN (vnw 0) (ww 1) (TI (INF (PP (vnw 2) (vz 13)) (NP (MWU (vz 3) (adj 4)) (lid 5) (MWU (adj 6) (n 7) (vz 8) (n 9)) (PP (vz 10) (MWU (spec 11) (spec 12)))) (ww 15)) (vz 14))) (let 16))
224	Tegenwoordig zijn onze relaties dieper en breder dan ooit .	(ROOT (SMAIN (adj 0) (ww 1) (NP (vnw 2) (n 3)) (CONJ (AP (adj 4) (CP (vg 7) (bw 8))) (vg 5) (AP (adj 6)))) (let 9))
225	Alleen al economisch . Zo zijn we uw belangrijkste exportbestemming .	(ROOT (DU (AP (MWU (bw 0) (bw 1)) (adj 2)) (let 3) (SMAIN (bw 4) (ww 5) (vnw 6) (NP (vnw 7) (adj 8) (n 9)))) (let 10))
226	Belangrijker dan Duitsland en China .	(ROOT (AP (adj 0) (CP (vg 1) (CONJ (n 2) (vg 3) (n 4)))) (let 5))
227	En laten we de sport niet vergeten !	(ROOT (DU (vg 0) (SV1 (ww 1) (vnw 2) (INF (NP (lid 3) (n 4)) (bw 5) (ww 6)))) (let 7))
228	Wat gebeurt er als je fantastische Russische voetballers samenbrengt met een fantastische Nederlandse coach ?	(ROOT (WHQ (vnw 0) (SV1 (ww 1) (vnw 2) (CP (vg 3) (SSUB (vnw 4) (NP (adj 5) (adj 6) (n 7)) (ww 8) (PP (vz 9) (NP (lid 10) (adj 11) (adj 12) (n 13))))))) (let 14))
229	Dan ligt de weg naar het Europees Kampioenschap open .	(ROOT (SMAIN (bw 0) (ww 1) (NP (lid 2) (n 3) (PP (vz 4) (NP (lid 5) (MWU (spec 6) (spec 7))))) (adj 8)) (let 9))
230	Tenminste ... u moet nog twee keer winnen om u te kwalificeren . Maar dat moet toch geen probleem zijn met een coach als Guus Hiddink .	(ROOT (DU (DU (bw 0) (let 1) (SMAIN (vnw 2) (ww 3) (INF (NP (bw 4) (tw 5) (n 6)) (ww 7) (OTI (vz 8) (TI (INF (vnw 9) (ww 11)) (vz 10)))))) (let 12) (DU (vg 13) (SMAIN (vnw 14) (ww 15) (bw 16) (INF (NP (vnw 17) (n 18) (PP (vz 20) (NP (lid 21) (n 22) (PP (vz 23) (MWU (spec 24) (spec 25)))))) (ww 19))))) (let 26))
231	Ik ben ervan overtuigd dat onze samenwerking nog verder aan kracht kan winnen .	(ROOT (SMAIN (vnw 0) (ww 1) (PPART (PP (bw 2) (CP (vg 4) (SSUB (NP (vnw 5) (n 6)) (INF (bw 7) (adj 8) (PP (vz 9) (n 10)) (ww 12)) (ww 11)))) (ww 3))) (let 13))
232	Sportief , economisch en politiek .	(ROOT (CONJ (adj 0) (let 1) (adj 2) (vg 3) (n 4)) (let 5))
233	Graag wil ik u schetsen welke weg we daarbij kunnen bewandelen .	(ROOT (SMAIN (INF (bw 0) (vnw 3) (ww 4) (WHSUB (NP (vnw 5) (n 6)) (SSUB (vnw 7) (INF (bw 8) (ww 10)) (ww 9)))) (ww 1) (vnw 2)) (let 11))
234	De derde : een open dialoog voeren .	(ROOT (DU (NP (lid 0) (tw 1)) (let 2) (INF (NP (lid 3) (adj 4) (n 5)) (ww 6))) (let 7))
235	Samenwerking op basis van wederzijds respect was van oudsher een pure noodzaak .	(ROOT (SMAIN (NP (n 0) (PP (MWU (vz 1) (n 2) (vz 3)) (NP (adj 4) (n 5)))) (ww 6) (PP (vz 7) (bw 8)) (NP (lid 9) (adj 10) (n 11))) (let 12))
236	Dat heeft te maken met de ligging en de natuurlijke omstandigheden van ons land .	(ROOT (SMAIN (vnw 0) (ww 1) (TI (vz 2) (ww 3)) (PP (vz 4) (CONJ (NP (lid 5) (n 6) (PP (vz 11) (NP (vnw 12) (n 13)))) (vg 7) (NP (lid 8) (adj 9) (n 10))))) (let 14))
237	U moet zich voorstellen dat de helft van mijn land onder de zeespiegel ligt .	(ROOT (SMAIN (vnw 0) (ww 1) (INF (vnw 2) (ww 3) (CP (vg 4) (SSUB (NP (lid 5) (n 6) (PP (vz 7) (NP (vnw 8) (n 9)))) (PP (vz 10) (NP (lid 11) (n 12))) (ww 13))))) (let 14))
238	Mijn eigen huis staat zo'n zes meter onder het wateroppervlak van de Noordzee .	(ROOT (SMAIN (NP (vnw 0) (adj 1) (n 2)) (ww 3) (NP (DETP (vnw 4) (tw 5)) (n 6)) (PP (vz 7) (NP (lid 8) (n 9) (PP (vz 10) (NP (lid 11) (n 12)))))) (let 13))
239	Ons land is een drassige delta van grote rivieren , beschermd door duinen en dijken .	(ROOT (SMAIN (NP (vnw 0) (n 1)) (ww 2) (NP (lid 3) (adj 4) (n 5) (PP (vz 6) (NP (adj 7) (n 8))) (let 9) (PPART (ww 10) (PP (vz 11) (CONJ (n 12) (vg 13) (n 14)))))) (let 15))
240	Een vijfde deel van Nederland hebben we in de loop der eeuwen gewonnen op het water , door meren en zee in te polderen .	(ROOT (SMAIN (NP (lid 0) (tw 1) (n 2) (PP (vz 3) (n 4))) (ww 5) (vnw 6) (PPART (PP (vz 7) (NP (lid 8) (n 9) (NP (lid 10) (n 11)))) (ww 12) (PP (vz 13) (NP (lid 14) (n 15))) (let 16) (CP (vz 17) (TI (INF (CONJ (n 18) (vg 19) (n 20)) (vz 21) (ww 23)) (vz 22))))) (let 24))
241	U begrijpt dat het in zo'n land noodzakelijk is om samen te werken .	(ROOT (SMAIN (vnw 0) (ww 1) (CP (vg 2) (SSUB (vnw 3) (PP (vz 4) (NP (vnw 5) (n 6))) (adj 7) (ww 8) (OTI (vz 9) (TI (INF (bw 10) (ww 12)) (vz 11)))))) (let 13))
242	Moeder Natuur heeft ons Nederlanders als het ware gedwongen oog te hebben voor gezamenlijke belangen .	(ROOT (SMAIN (MWU (spec 0) (spec 1)) (ww 2) (PPART (NP (vnw 3) (n 4)) (MWU (vg 5) (vnw 6) (ww 7)) (ww 8) (TI (INF (NP (n 9) (PP (vz 12) (NP (adj 13) (n 14)))) (ww 11)) (vz 10)))) (let 15))
243	De waterhuishouding in Nederland is een complex geheel waarin alles met alles samenhangt en waarin ieders inzet nodig is .	(ROOT (SMAIN (NP (lid 0) (n 1) (PP (vz 2) (n 3))) (ww 4) (NP (lid 5) (adj 6) (n 7) (CONJ (REL (bw 8) (SSUB (vnw 9) (PP (vz 10) (vnw 11)) (ww 12))) (vg 13) (REL (bw 14) (SSUB (NP (vnw 15) (n 16)) (adj 17) (ww 18)))))) (let 19))
